R, m,likelihood
12.8972,2.00729,2.2517451024544
12.5586,2.15128,1.03938111091132
16.04063,2.09521,1.92279220192395
14.35486,2.05299,14.7614548889939
13.82749,2.12167,15.6308615730899
13.3675,2.14422,1.24474716695545
12.1778,2.03213,1.11595310765042
19.94253,2.24031,2.27164307943936
14.39067,2.14996,8.7463811847848
14.76954,1.98957,4.44996239781774
15.81981,2.01458,10.4825099321782
13.51532,2.05422,1.89780689435289
11.85216,2.04656,7.71962328238382
14.18425,2.05516,9.21090202363517
11.85602,2.05582,15.9856768335571
13.94207,2.17275,24.333860566979
15.08111,2.12732,6.66835598351582
12.23458,2.14252,1.32752232560671
14.33137,2.0781,13.9545917584181
15.79228,2.12716,1.37120604427624
21.39834,2.06419,307.692307692308
18.25031,2.23879,0.859418843789453
13.29406,2.24033,0.551241782363129
12.70668,1.97447,2.37569192027178
16.59032,2.11227,5.36106792473061
13.41667,1.98403,1.55164334546718
12.68267,2.04549,12.2161277318316
12.90178,2.0365,3.99308397854915
14.99998,2.10016,5.49040277594764
14.61757,2.1405,2.05497045979964
21.00955,2.22559,0.460873244188158
18.40786,2.19754,13.4989200863931
12.75531,2.12055,7.54079570476277
19.72356,2.23284,0.77490906442129
14.76987,1.9678,7.31566356726387
14.10792,2.08161,1.48719451165737
11.67552,1.97743,4.25651459558855
11.65227,2.06291,0.920594998959728
18.58472,2.01274,36.3042294427301
18.23111,2.13344,8.18370787436372
11.98748,1.9342,3.91530414082566
13.8812,2.16859,0.534458975196293
11.28872,2.0988,1.37974805800461
13.35691,2.15831,6.01963605280425
12.60037,1.86156,0.927453648185298
21.73304,2.17085,51.671575466336
12.55047,2.1879,0.551727486346124
12.39675,2.19208,1.13218612687051
15.8081,2.19327,1.52137995247209
16.38863,1.97052,3.03592408975406
11.61859,2.1107,0.449112015722513
13.81607,2.14015,6.21573575664151
13.19737,2.06926,0.911444092019396
15.30875,2.07792,20.7926144633426
17.14737,2.19353,3.63531930827144
12.08057,2.12816,0.995012994869713
13.73128,2.13384,11.5243220817535
13.35262,2.13002,6.51656837509368
15.20593,2.23313,0.242034288513585
11.92981,2.03905,12.2396024577122
13.90615,2.13128,26.567481402763
18.74666,2.04326,6.39643846306377
13.2176,2.17034,0.916085639349909
13.52229,2.05756,8.9924822848099
12.52466,2.03843,3.61706822152373
12.347,2.0591,1.11616485754946
13.62743,2.09597,1.13540757157893
13.21547,1.91064,0.831792437842231
13.42401,2.08569,0.913239507106373
14.9878,2.05128,8.88107354417002
12.8673,2.22093,4.09730274560257
13.44134,2.08819,18.5408361917122
13.42573,2.27533,2.11646034705717
11.98632,2.17889,7.16378563087878
13.47673,2.12295,6.92352961539793
